# Portcard          Module                     AOH channel
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR2F_MOD4  B 18
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR1H_MOD1  A 9
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR1H_MOD2  A 1
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR1H_MOD3  A 2
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR1H_MOD4  A 3
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR2F_MOD1  A 11
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR2F_MOD2  A 12
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR2F_MOD3  A 7
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR2F_MOD4  A 8
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR3F_MOD1  A 4
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR3F_MOD2  A 5
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR3F_MOD3  A 6
BPix_BpI_SEC1_PRT2 BPix_BpI_SEC1_LYR3_LDR3F_MOD4  A 10
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR1_LDR3F_MOD1  A 5
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR1_LDR3F_MOD1  B 4
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR1_LDR3F_MOD2  A 10
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR1_LDR3F_MOD2  B 6
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR1_LDR3F_MOD3  A 12
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR1_LDR3F_MOD3  B 11
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR1_LDR3F_MOD4  A 17
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR1_LDR3F_MOD4  B 16
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR3F_MOD1  A 15
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR3F_MOD1  B 14
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR3F_MOD2  A 8
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR3F_MOD2  B 7
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR3F_MOD3  A 2
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR3F_MOD3  B 3
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR3F_MOD4  A 9
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR3F_MOD4  B 1
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR4F_MOD1  A 19
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR4F_MOD1  B 24
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR4F_MOD2  A 20
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR4F_MOD2  B 23
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR4F_MOD3  A 21
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR4F_MOD3  B 22
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR4F_MOD4  A 13
BPix_BpI_SEC2_PRT1 BPix_BpI_SEC2_LYR2_LDR4F_MOD4  B 18
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR4F_MOD1  A 9
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR4F_MOD2  A 1
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR4F_MOD3  A 2
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR4F_MOD4  A 3
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR5F_MOD1  A 8
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR5F_MOD2  A 7
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR5F_MOD3  A 12
